Description,Name,Symbol,Symbol-Display,Unicode,Type,Role,Voice,Place,Manner,Flap,Lateral,Liquid,Glide,Sonority,Back,Central,Front,Close,Mid,Open,Round,Rhotic,EML
Open back rounded vowel,Turned script A,ɒ,ɒ,0x252,Vowel,base,,,,,,,,,1,,,,,1,1,,
Primary stress,Vertical stroke (Superior),ˈ,ˈ,0x2c8,Suprasegmental,stress,,,,,,,,,,,,,,,,,
Secondary stress,Vertical stroke (Inferior),ˌ,ˌ,0x2cc,Suprasegmental,stress,,,,,,,,,,,,,,,,,
Long,Length mark,ː,ː,0x2d0,Suprasegmental,diacritic_right,,,,,,,,,,,,,,,,,
Affricate or double articulation,Top tie bar,͡,◌͡,0x361,Suprasegmental,compound_right,,,,,,,,,,,,,,,,,
Affricate or double articulation,Bottom tie bar,͜,◌͜,0x35c,Suprasegmental,compound_right,,,,,,,,,,,,,,,,,
Minor (foot) group,Vertical line,|,|,0x7c,Suprasegmental,boundary,,,,,,,,,,,,,,,,,
Major (intonation) group,Double vertical line,‖,‖,0x2016,Suprasegmental,boundary,,,,,,,,,,,,,,,,,
Half-long,Half-length mark,ˑ,ˑ,0x2d1,Suprasegmental,diacritic_right,,,,,,,,,,,,,,,,,
Syllable break,Period,.,.,0x2e,Suprasegmental,boundary,,,,,,,,,,,,,,,,,
Aspirated,Superscript H,ʰ,◌ʰ,0x2b0,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Pre-aspirated,Superscript H,ʰ̵,ʰ̵◌,0x2b0 + 0x335,Contour,diacritic_left,,,,,,,,,,,,,,,,,
Unreleased,Superscript equals,⁼,◌⁼,0x207c,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Labialized,Superscript W,ʷ,◌ʷ,0x2b7,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Lateral release,Superscript L,ˡ,◌ˡ,0x2e1,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small ɹ,Superscript small turned r,ʴ,◌ʴ,0x2b4,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Palatalized,Superscript J,ʲ,◌ʲ,0x2b2,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Velarized,Superscript gamma,ˠ,◌ˠ,0x2e0,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Pharyngealized,Superscript reversed glottal stop,ˤ,◌ˤ,0x2e4,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Glottalized,Superscript glottal stop,ˀ,◌ˀ,0x2c0,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Ejective,Apostrophe,ʼ,◌ʼ,0x2bc,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Bilabial prenasalization,Superscript lower-case M,ᵐ,ᵐ◌,0x1d50,Contour,diacritic_left,,,,,,,,,,,,,,,,,
Labiodental prenasalization,Superscript left-tail M (at right),ᶬ,ᶬ◌,0x1dac,Contour,diacritic_left,,,,,,,,,,,,,,,,,
Alveolar prenasalization,Superscript lower-case N,ⁿ,ⁿ◌,0x207f,Contour,diacritic_left,,,,,,,,,,,,,,,,,
Nasal release,Superscript lower-case N,ⁿ̵,◌ⁿ̵,0x207f + 0x335,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Retroflex prenasalization,Superscript right-tail N,ᶯ,ᶯ◌,0x1daf,Contour,diacritic_left,,,,,,,,,,,,,,,,,
Palatal prenasalization,Superscript left-tail N,ᶮ,ᶮ◌,0x1dae,Contour,diacritic_left,,,,,,,,,,,,,,,,,
Velar prenasalization,Superscript Eng,ᵑ,ᵑ◌,0x1d51,Contour,diacritic_left,,,,,,,,,,,,,,,,,
Uvular prenasalization,Superscript capital N,ᶰ,ᶰ◌,0x1db0,Contour,diacritic_left,,,,,,,,,,,,,,,,,
Modifier letter small S,Superscript small S,ˢ,◌ˢ,0x2e2,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small Z,Superscript small Z,ᶻ,◌ᶻ,0x1dbb,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small Esh,Superscript small Esh,ᶴ,◌ᶴ,0x1db4,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small Ezh,Superscript small Ezh,ᶾ,◌ᶾ,0x1dbe,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small Schwa,Superscript small Schwa,ᵊ,◌ᵊ,0x1d4a,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Modifier letter small R,Superscript small R,ʳ,◌ʳ,0x2b3,Contour,diacritic_right,,,,,,,,,,,,,,,,,
Role-switcher,Short stroke overlay; Role-switcher,̵,◌̵,0x335,Contour,diacritic_role-switcher,,,,,,,,,,,,,,,,,
Syllabic,Syllabicity mark,̩,◌̩,0x329,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
No audible release; Unreleased,Corner,̚,◌̚,0x31a,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
Nasalized,Superscript tilde,̃,◌̃,0x303,Diacritic,diacritic_right,,,,,,,,,,,,,,,,,
