Description,Name,Symbol,Symbol-Display,Unicode,Type,Role,Voice,Place,Manner,Flap,Lateral,Liquid,Glide,Sonority,Back,Central,Front,Close,Mid,Open,Round,Rhotic,EML
Voiceless bilabial stop,Lower-case P,p,p,0x70,Consonant,base,0,bilabial,stop,,,,,1,,,,,,,,,E
Voiced bilabial stop,Lower-case B,b,b,0x62,Consonant,base,1,bilabial,stop,,,,,2,,,,,,,,,E
Voiceless alveolar stop,Lower-case T,t,t,0x74,Consonant,base,0,alveolar,stop,,,,,1,,,,,,,,,M
Voiced alveolar stop,Lower-case D,d,d,0x64,Consonant,base,1,alveolar,stop,,,,,2,,,,,,,,,E
Voiceless retroflex stop,Right-tail T,ʈ,ʈ,0x288,Consonant,base,0,retroflex,stop,,,,,1,,,,,,,,,
Voiced retroflex stop,Right-tail D,ɖ,ɖ,0x256,Consonant,base,1,retroflex,stop,,,,,2,,,,,,,,,
Voiceless palatal stop,Lower-case C,c,c,0x63,Consonant,base,0,palatal,stop,,,,,1,,,,,,,,,
Voiced palatal stop,Barred dotless J,ɟ,ɟ,0x25f,Consonant,base,1,palatal,stop,,,,,2,,,,,,,,,
Voiceless velar stop,Lower-case K,k,k,0x6b,Consonant,base,0,velar,stop,,,,,1,,,,,,,,,M
Voiced velar stop,Opentail lower-case G,ɡ,ɡ,0x261,Consonant,base,1,velar,stop,,,,,2,,,,,,,,,M
Voiced velar stop,Latin small letter G (non-IPA),g,g,0x67,Consonant,base,1,velar,stop,,,,,2,,,,,,,,,M
Voiceless uvular stop,Lower-case Q,q,q,0x71,Consonant,base,0,uvular,stop,,,,,1,,,,,,,,,
Voiced uvular stop,Small capital G,ɢ,ɢ,0x262,Consonant,base,1,uvular,stop,,,,,2,,,,,,,,,
Glottal stop,Glottal stop,ʔ,ʔ,0x294,Consonant,base,0,glottal,stop,,,,,1,,,,,,,,,
Epiglottal stop,Barred glottal stop,ʡ,ʡ,0x2a1,Consonant,base,0,epiglottal,stop,,,,,1,,,,,,,,,
Voiced bilabial nasal,Lower-case M,m,m,0x6d,Consonant,base,1,bilabial,nasal,,,,,5,,,,,,,,,E
Voiced labiodental nasal,Left-tail M (at right),ɱ,ɱ,0x271,Consonant,base,1,labiodental,nasal,,,,,5,,,,,,,,,
Voiced alveolar nasal,Lower-case N,n,n,0x6e,Consonant,base,1,alveolar,nasal,,,,,5,,,,,,,,,E
Voiced retroflex nasal,Right-tail N,ɳ,ɳ,0x273,Consonant,base,1,retroflex,nasal,,,,,5,,,,,,,,,
Voiced palatal nasal,Left-tail N (at left),ɲ,ɲ,0x272,Consonant,base,1,palatal,nasal,,,,,5,,,,,,,,,
Voiced velar nasal,Eng; left-tail N (at right),ŋ,ŋ,0x14b,Consonant,base,1,velar,nasal,,,,,5,,,,,,,,,L
Voiced uvular nasal,Small capital N,ɴ,ɴ,0x274,Consonant,base,1,uvular,nasal,,,,,5,,,,,,,,,
Voiceless bilabial fricative,Phi,ɸ,ɸ,0x278,Consonant,base,0,bilabial,fricative,,,,,3,,,,,,,,,
Voiced bilabial fricative,Beta,β,β,0x3b2,Consonant,base,1,bilabial,fricative,,,,,4,,,,,,,,,
Voiceless labiodental fricative,Lower-case F,f,f,0x66,Consonant,base,0,labiodental,fricative,,,,,3,,,,,,,,,M
Voiced labiodental fricative,Lower-case V,v,v,0x76,Consonant,base,1,labiodental,fricative,,,,,4,,,,,,,,,M
Voiceless dental fricative,Theta,θ,θ,0x3b8,Consonant,base,0,dental,fricative,,,,,3,,,,,,,,,L
Voiced dental fricative,Eth,ð,ð,0xf0,Consonant,base,1,dental,fricative,,,,,4,,,,,,,,,L
Voiceless alveolar fricative,Lower-case S,s,s,0x73,Consonant,base,0,alveolar,fricative,,,,,3,,,,,,,,,L
Voiced alveolar fricative,Lower-case Z,z,z,0x7a,Consonant,base,1,alveolar,fricative,,,,,4,,,,,,,,,L
Voiceless postalveolar fricative,Esh,ʃ,ʃ,0x283,Consonant,base,0,postalveolar,fricative,,,,,3,,,,,,,,,L
Voiced postalveolar fricative,Ezh; tailed Z,ʒ,ʒ,0x292,Consonant,base,1,postalveolar,fricative,,,,,4,,,,,,,,,L
Voiceless retroflex fricative,Right-tail S,ʂ,ʂ,0x282,Consonant,base,0,retroflex,fricative,,,,,3,,,,,,,,,
Voiced retroflex fricative,Right-tail Z,ʐ,ʐ,0x290,Consonant,base,1,retroflex,fricative,,,,,4,,,,,,,,,
Voiceless palatal fricative,C cedilla,ç,ç,0xe7,Consonant,base,0,palatal,fricative,,,,,3,,,,,,,,,
Voiced palatal fricative,Curly-tail J,ʝ,ʝ,0x29d,Consonant,base,1,palatal,fricative,,,,,4,,,,,,,,,
Voiceless velar fricative,Lower-case X,x,x,0x78,Consonant,base,0,velar,fricative,,,,,3,,,,,,,,,
Voiced velar fricative,Gamma,ɣ,ɣ,0x263,Consonant,base,1,velar,fricative,,,,,4,,,,,,,,,
Voiceless uvular fricative,Chi,χ,χ,0x3c7,Consonant,base,0,uvular,fricative,,,,,3,,,,,,,,,
Voiced uvular fricative,Inverted small capital R,ʁ,ʁ,0x281,Consonant,base,1,uvular,fricative,,,,,4,,,,,,,,1,
Voiceless pharyngeal fricative,Barred H,ħ,ħ,0x127,Consonant,base,0,pharyngeal,fricative,,,,,3,,,,,,,,,
Voiced phayngeal fricative,Reversed glottal stop,ʕ,ʕ,0x295,Consonant,base,1,phayngeal,fricative,,,,,4,,,,,,,,,
Voiceless glottal fricative,Lower-case H,h,h,0x68,Consonant,base,0,glottal,fricative,,,,1,3,,,,,,,,,E
Voiced glottal fricative,Hooktop H,ɦ,ɦ,0x266,Consonant,base,1,glottal,fricative,,,,,4,,,,,,,,,
Voiceless alveolar lateral fricative,Belted L,ɬ,ɬ,0x26c,Consonant,base,0,lateral,fricative,,1,,,3,,,,,,,,,
Voiced alveolar lateral fricative,L-ezh,ɮ,ɮ,0x26e,Consonant,base,1,lateral,fricative,,1,,,4,,,,,,,,,
Voiceless alveopalatal fricative,Curly tail C,ɕ,ɕ,0x255,Consonant,base,0,alveopalatal,fricative,,,,,3,,,,,,,,,
Voiced alveopalatal fricative,Curly tail Z,ʑ,ʑ,0x291,Consonant,base,1,alveopalatal,fricative,,,,,4,,,,,,,,,
Simultaneous voiceless postalveolar and velar fricative,Hooktop heng,ɧ,ɧ,0x267,Consonant,base,0,velar,fricative,,,,,3,,,,,,,,,
Voiceless epiglottal fricative,Small capital H,ʜ,ʜ,0x29c,Consonant,base,0,epiglottal,fricative,,,,,3,,,,,,,,,
Voiced epiglottal fricative,Barred reversed glottal stop,ʢ,ʢ,0x2a2,Consonant,base,1,epiglottal,fricative,,,,,4,,,,,,,,,
Voiceless alveolar affricate,Lower-case T-S,ʦ,ʦ,0x2a6,Consonant,base,0,alveolar,affricate,,,,,2,,,,,,,,,
Voiced alveolar affricate,Lower-case D-Z,ʣ,ʣ,0x2a3,Consonant,base,1,alveolar,affricate,,,,,3,,,,,,,,,
Voiceless alveopalatal affricate,T-esh,ʧ,ʧ,0x2a7,Consonant,base,0,alveopalatal,affricate,,,,,2,,,,,,,,,L
Voiced alveopalatal affricate,D-ezh,ʤ,ʤ,0x2a4,Consonant,base,1,alveopalatal,affricate,,,,,3,,,,,,,,,L
Voiceless palatal affricate,T-Curly tail C,ʨ,ʨ,0x2a8,Consonant,base,0,palatal,affricate,,,,,2,,,,,,,,,
Voiceless palatal affricate,D-Curly tail Z,ʥ,ʥ,0x2a5,Consonant,base,0,palatal,affricate,,,,,2,,,,,,,,,
Voiceless alveolar lateral affricate,Barred Lambda,ƛ,ƛ,0x19b,Consonant,base,0,lateral,affricate,,1,,,2,,,,,,,,,
Voiced alveolar lateral affricate,Lambda,λ,λ,0x3bb,Consonant,base,1,lateral,affricate,,1,,,3,,,,,,,,,
Voiced bilabial trill,Small capital B,ʙ,ʙ,0x299,Consonant,base,1,bilabial,trill,,,,1,7,,,,,,,,,
Voiced labial flap,Hooked V,ⱱ,ⱱ,0x2c71,Consonant,base,1,labial,flap,1,,1,,6,,,,,,,,,
Voiced alveolar flap,Fish hook R,ɾ,ɾ,0x27e,Consonant,base,1,alveolar,flap,1,,1,,6,,,,,,,,1,
Voiced alveolar trill,Lower-case R,r,r,0x72,Consonant,base,1,alveolar,trill,,,1,,6,,,,,,,,1,
Voiced alveolar approximant,Turned R,ɹ,ɹ,0x279,Consonant,base,1,alveolar,approximant,,,1,,6,,,,,,,,1,L
Voiced retroflex flap,Right-tail R,ɽ,ɽ,0x27d,Consonant,base,1,retroflex,flap,1,,1,,6,,,,,,,,1,
Voiced retroflex approximant,"Turned R, right tail",ɻ,ɻ,0x27b,Consonant,base,1,retroflex,approximant,,,1,,6,,,,,,,,1,
Voiced uvular trill,Small capital R,ʀ,ʀ,0x280,Consonant,base,1,uvular,trill,,,1,,6,,,,,,,,1,
Voiced alveolar lateral flap,Turned long-leg R,ɺ,ɺ,0x27a,Consonant,base,1,lateral,flap,1,1,1,,6,,,,,,,,,
Voiced alveolar lateral approximant,Lower-case L,l,l,0x6c,Consonant,base,1,lateral,approximant,,1,1,,6,,,,,,,,,L
